AR15352 BCWWTP Effluent                                             11/03/202007:00                                           PB_ICPMS                BC_WW001                
AR15353 BCWWTP Headworks                                            11/03/202007:22                                           PB_ICPMS                BC_WW020                
AR15525 Landfill Outfall 125-001                                    11/05/202009:25                                           PB_ICPMS                IPP_125                 
AR15354 BCWWTP Sludge                                               11/03/202008:27                                           PB_ICPMS_DRYWT          BC_WW100                
AR15354 BCWWTP Sludge                                               11/03/202008:27                                           PB_ICPMS_SL             BC_WW100                
AR15352 BCWWTP Effluent                                             11/03/202007:00                                           SE_ICPMS                BC_WW001                
AR15353 BCWWTP Headworks                                            11/03/202007:22                                           SE_ICPMS                BC_WW020                
AR15354 BCWWTP Sludge                                               11/03/202008:27                                           SE_ICPMS_DRYWT          BC_WW100                
AR15354 BCWWTP Sludge                                               11/03/202008:27                                           SE_ICPMS_SL             BC_WW100                
AR15352 BCWWTP Effluent                                             11/03/202007:00                                           ZN_ICPMS                BC_WW001                
AR15353 BCWWTP Headworks                                            11/03/202007:22                                           ZN_ICPMS                BC_WW020                
AR15525 Landfill Outfall 125-001                                    11/05/202009:25                                           ZN_ICPMS                IPP_125                 
AR15354 BCWWTP Sludge                                               11/03/202008:27                                           ZN_ICPMS_DRYWT          BC_WW100                
AR15354 BCWWTP Sludge                                               11/03/202008:27                                           ZN_ICPMS_SL             BC_WW100                
